epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1116.75,1.0364,3.08567,1.49449,0.86197,0.16946,0.22488,0.15398,1.09941,2.83293,1.60291,0.000127983,0.000127983,0.000127983
2,2184.55,1.07663,2.26634,1.51613,0.47429,0.33305,0.31001,0.20465,1.11022,2.4358,1.61827,0.000251241,0.000251241,0.000251241
3,3210.02,1.07488,1.99621,1.48388,0.342,0.37284,0.36061,0.23209,1.17968,2.15068,1.66633,0.000369417,0.000369417,0.000369417
4,4229,1.07224,1.8636,1.48206,0.40357,0.49176,0.41859,0.27808,1.21319,2.09864,1.69414,0.000362131,0.000362131,0.000362131
5,4874.84,1.05262,1.71817,1.45659,0.40901,0.49462,0.45653,0.30503,1.24746,1.85476,1.72968,0.000354508,0.000354508,0.000354508
6,5297.75,1.03931,1.63177,1.43891,0.42859,0.52032,0.47003,0.32284,1.16358,1.73855,1.63852,0.000346885,0.000346885,0.000346885
7,5729.24,1.01691,1.51996,1.42107,0.55781,0.49774,0.55745,0.37428,1.13203,1.48528,1.59765,0.000339262,0.000339262,0.000339262
8,6173.63,1.00853,1.48601,1.42225,0.65946,0.50534,0.57312,0.3969,1.1001,1.4435,1.56287,0.000331639,0.000331639,0.000331639
9,6658.95,0.99788,1.4275,1.41131,0.52336,0.57388,0.58888,0.39883,1.11324,1.40801,1.57733,0.000324016,0.000324016,0.000324016
10,7604.61,0.96548,1.34769,1.38474,0.57539,0.65252,0.67595,0.4577,1.1089,1.23286,1.57261,0.000316393,0.000316393,0.000316393
11,8448.31,0.97995,1.31913,1.39446,0.66266,0.54723,0.64,0.44434,1.11666,1.29194,1.57522,0.00030877,0.00030877,0.00030877
12,9321.86,0.94264,1.25873,1.36945,0.63089,0.66042,0.6993,0.48183,1.08987,1.21627,1.53502,0.000301147,0.000301147,0.000301147
13,10446.3,0.95366,1.23303,1.37271,0.6667,0.66961,0.70593,0.4816,1.07923,1.14493,1.53948,0.000293524,0.000293524,0.000293524
14,11248.1,0.94237,1.21626,1.36973,0.73346,0.65043,0.70755,0.49418,1.03615,1.08254,1.50949,0.000285901,0.000285901,0.000285901
15,11639.1,0.94021,1.17982,1.37115,0.62013,0.66568,0.69373,0.47519,1.082,1.13557,1.53538,0.000278278,0.000278278,0.000278278
16,12076.7,0.91589,1.10732,1.34788,0.66762,0.66154,0.7023,0.48919,1.06641,1.08985,1.54168,0.000270655,0.000270655,0.000270655
17,12681.8,0.93369,1.1163,1.35018,0.72116,0.66291,0.73711,0.51909,1.02597,1.02076,1.48889,0.000263032,0.000263032,0.000263032
18,13531.8,0.91961,1.08343,1.35113,0.67448,0.73529,0.75191,0.52122,1.02135,1.00497,1.49026,0.000255409,0.000255409,0.000255409
19,14359,0.90324,1.04949,1.33133,0.70611,0.67372,0.73242,0.50396,1.11471,1.07937,1.58413,0.000247786,0.000247786,0.000247786
20,15338.2,0.90901,1.0281,1.32759,0.7336,0.71129,0.75796,0.5257,1.04429,1.00188,1.49901,0.000240163,0.000240163,0.000240163
21,16465.9,0.89642,0.99047,1.32045,0.76753,0.70839,0.78092,0.5518,1.03992,0.95924,1.49517,0.00023254,0.00023254,0.00023254
22,16870.3,0.8896,0.98509,1.31398,0.81471,0.63865,0.76132,0.53755,1.0473,0.94949,1.51147,0.000224917,0.000224917,0.000224917
23,17274.3,0.87786,0.96929,1.31217,0.78736,0.70791,0.77963,0.54234,1.01526,0.91812,1.47975,0.000217294,0.000217294,0.000217294
24,17682.4,0.87439,0.94204,1.30722,0.73743,0.73013,0.78013,0.56082,1.00014,0.90217,1.46813,0.000209671,0.000209671,0.000209671
25,18086.5,0.86925,0.93512,1.30146,0.75535,0.73243,0.79111,0.56103,1.00956,0.90978,1.47664,0.000202048,0.000202048,0.000202048
26,18493.9,0.86553,0.92164,1.30328,0.79339,0.71659,0.78675,0.55672,1.01259,0.90592,1.46604,0.000194425,0.000194425,0.000194425
